transaction_number,name,type,quantity
1,MenhirCo,buy,10
2,MenhirCo,buy,10
3,MenhirCo,buy,10
4,MenhirCo,buy,10
5,MenhirCo,buy,10
6,MenhirCo,buy,10
7,MenhirCo,buy,10
8,MenhirCo,buy,10
9,MenhirCo,sell,5
10,RottenFishCo,sell,4
11,PotionCo,buy,9
12,BowCo,sell,7
13,SwordCo,buy,3
14,SwordCo,sell,3
15,MenhirCo,buy,3
16,PotionCo,sell,4
17,ShieldCo,sell,10
18,ArrowCo,buy,2
19,ArrowCo,buy,3
20,BowCo,sell,7
21,BoarCo,buy,6
22,BoarCo,sell,8
23,PotionCo,buy,5
24,HelmetCo,sell,2
25,PotionCo,buy,1
26,GameStart,sell,8
27,SwordCo,buy,8
28,GameStart,sell,2
29,PotionCo,buy,2
30,ShieldCo,buy,7
31,MenhirCo,buy,10
32,ShieldCo,sell,2
33,BoarCo,buy,1
34,ArrowCo,sell,3
35,ArrowCo,sell,7
36,SwordCo,sell,3
37,ShieldCo,buy,10
38,BowCo,buy,7
39,GameStart,sell,5
40,BowCo,buy,2
41,ShieldCo,sell,1
42,GameStart,sell,8
43,MenhirCo,buy,8
44,HelmetCo,sell,7
45,GameStart,buy,10
46,ArrowCo,sell,9
47,ShieldCo,buy,3
48,ArrowCo,buy,3
49,BowCo,sell,10
50,RottenFishCo,buy,7
51,PotionCo,sell,8
52,BoarCo,buy,10
53,GameStart,sell,7
54,BoarCo,sell,3
55,ArrowCo,buy,5
56,HelmetCo,buy,5
57,BoarCo,sell,5
58,HelmetCo,buy,1
59,SwordCo,buy,10
60,BoarCo,buy,9
61,ShieldCo,buy,8
62,GameStart,buy,8
63,HelmetCo,buy,9
64,ArrowCo,buy,2
65,BoarCo,buy,8
66,BoarCo,buy,8
67,ArrowCo,buy,1
68,PotionCo,buy,8
69,SwordCo,sell,1
70,GameStart,buy,6
71,RottenFishCo,sell,5
72,BoarCo,buy,3
73,HelmetCo,buy,9
74,SwordCo,buy,1
75,RottenFishCo,sell,2
76,MenhirCo,buy,1
77,BoarCo,buy,4
78,PotionCo,sell,9
79,RottenFishCo,sell,8
80,PotionCo,buy,2
81,GameStart,buy,6
82,GameStart,sell,1
83,ArrowCo,buy,2
84,BoarCo,sell,4
85,RottenFishCo,sell,10
86,BoarCo,buy,6
87,BoarCo,buy,1
88,BowCo,buy,4
89,BoarCo,sell,8
90,ArrowCo,buy,1
91,HelmetCo,sell,7
92,ShieldCo,sell,8
93,ShieldCo,buy,7
94,GameStart,sell,1
95,GameStart,sell,6
96,MenhirCo,sell,1
97,SwordCo,buy,3
98,PotionCo,sell,3
99,ShieldCo,buy,3
100,ShieldCo,sell,3
101,BoarCo,buy,8
102,GameStart,buy,9
103,ShieldCo,buy,6
104,BoarCo,buy,1
105,BoarCo,sell,8
106,SwordCo,buy,8
107,HelmetCo,sell,1
108,RottenFishCo,buy,2
109,GameStart,sell,9
110,SwordCo,buy,9
111,RottenFishCo,buy,5
112,SwordCo,buy,4
113,ShieldCo,sell,10
114,BoarCo,sell,3
115,ShieldCo,buy,9
116,SwordCo,buy,3
117,GameStart,buy,7
118,PotionCo,buy,6
119,SwordCo,sell,9
120,SwordCo,sell,10
121,ShieldCo,buy,4
122,ShieldCo,sell,1
123,ArrowCo,buy,6
124,BowCo,sell,8
125,PotionCo,buy,7
126,ShieldCo,sell,2
127,GameStart,sell,9
128,RottenFishCo,buy,9
129,GameStart,sell,3
130,ShieldCo,sell,5
131,GameStart,buy,9
132,BowCo,sell,6
133,BoarCo,sell,5
134,BowCo,buy,5
135,ArrowCo,sell,2
136,MenhirCo,buy,4
137,ArrowCo,buy,1
138,ArrowCo,sell,8
139,SwordCo,sell,2
140,SwordCo,buy,7
141,ArrowCo,sell,9
142,BoarCo,buy,4
143,BowCo,sell,4
144,MenhirCo,buy,1
145,ShieldCo,sell,6
146,BoarCo,sell,1
147,GameStart,buy,3
148,RottenFishCo,buy,8
149,ArrowCo,buy,6
150,SwordCo,sell,6
151,ArrowCo,sell,2
152,RottenFishCo,sell,10
153,BowCo,sell,6
154,SwordCo,sell,7
155,HelmetCo,buy,5
156,SwordCo,sell,9
157,PotionCo,buy,6
158,GameStart,buy,8
159,ShieldCo,sell,1
160,SwordCo,sell,2
161,BoarCo,sell,2
162,PotionCo,sell,1
163,BoarCo,buy,3
164,SwordCo,sell,7
165,SwordCo,sell,5
166,MenhirCo,sell,4
167,PotionCo,sell,7
168,MenhirCo,sell,8
169,ShieldCo,sell,2
170,BowCo,sell,7
171,BoarCo,buy,5
172,MenhirCo,buy,8
173,BowCo,buy,5
174,MenhirCo,buy,3
175,GameStart,sell,9
176,MenhirCo,buy,7
177,HelmetCo,sell,8
178,PotionCo,sell,10
179,GameStart,sell,7
180,SwordCo,buy,2
181,PotionCo,buy,8
182,MenhirCo,sell,5
183,MenhirCo,sell,9
184,ShieldCo,sell,8
185,PotionCo,sell,1
186,BowCo,sell,1
187,ShieldCo,sell,9
188,BoarCo,buy,7
189,BoarCo,sell,1
190,BowCo,sell,7
191,ShieldCo,sell,4
192,ArrowCo,buy,1
193,RottenFishCo,buy,9
194,ShieldCo,sell,2
195,RottenFishCo,buy,7
196,GameStart,sell,9
197,ShieldCo,sell,5
198,RottenFishCo,buy,9
199,BowCo,sell,4
200,PotionCo,buy,5
201,BowCo,buy,7
202,MenhirCo,sell,5
203,PotionCo,sell,9
204,ShieldCo,sell,1
205,BoarCo,sell,1
206,BoarCo,buy,10
207,ArrowCo,buy,2
208,SwordCo,sell,10
209,HelmetCo,sell,3
210,MenhirCo,buy,4
211,ShieldCo,sell,6
212,ArrowCo,sell,8
213,ShieldCo,buy,3
214,BowCo,sell,9
215,PotionCo,buy,1
216,RottenFishCo,buy,3
217,BowCo,sell,8
218,HelmetCo,sell,2
219,MenhirCo,sell,7
220,BoarCo,sell,1
221,HelmetCo,sell,10
222,HelmetCo,buy,6
