transaction_number,name,type,quantity
1,BoarCo,buy,3
2,BoarCo,buy,3
3,MenhirCo,buy,4
4,MenhirCo,sell,9
5,GameStart,buy,5
6,RottenFishCo,buy,6
7,RottenFishCo,buy,4
8,MenhirCo,buy,10
9,RottenFishCo,buy,6
10,BoarCo,sell,6
11,BoarCo,sell,4
12,MenhirCo,buy,8
13,BoarCo,buy,7
14,MenhirCo,sell,2
15,GameStart,buy,2
16,GameStart,buy,8
17,MenhirCo,buy,4
18,GameStart,buy,6
19,BoarCo,buy,5
20,BoarCo,sell,7
21,BoarCo,buy,9
22,MenhirCo,sell,10
23,RottenFishCo,sell,8
24,MenhirCo,sell,9
25,GameStart,sell,5
26,GameStart,sell,8
27,GameStart,buy,1
28,RottenFishCo,sell,4
29,RottenFishCo,sell,8
30,BoarCo,buy,7
31,GameStart,buy,2
32,RottenFishCo,sell,3
33,GameStart,sell,6
34,BoarCo,buy,5
35,RottenFishCo,sell,5
36,MenhirCo,buy,4
37,GameStart,sell,1
38,BoarCo,sell,5
39,MenhirCo,buy,7
40,MenhirCo,buy,1
41,GameStart,buy,9
42,BoarCo,sell,10
43,BoarCo,sell,5
44,GameStart,sell,4
45,RottenFishCo,buy,8
46,GameStart,sell,7
47,RottenFishCo,sell,10
48,RottenFishCo,sell,10
49,BoarCo,buy,6
50,MenhirCo,sell,8
51,RottenFishCo,buy,5
52,MenhirCo,sell,1
53,GameStart,sell,4
54,GameStart,buy,1
55,GameStart,sell,6
56,GameStart,buy,2
57,MenhirCo,buy,5
58,MenhirCo,buy,5
59,GameStart,buy,10
60,MenhirCo,buy,10
61,BoarCo,buy,5
62,MenhirCo,sell,10
63,BoarCo,sell,6
64,BoarCo,buy,9
65,MenhirCo,buy,10
66,RottenFishCo,buy,4
67,BoarCo,buy,6
68,BoarCo,buy,6
69,RottenFishCo,sell,7
70,BoarCo,sell,2
71,BoarCo,sell,8
72,BoarCo,sell,9
73,MenhirCo,sell,5
74,RottenFishCo,buy,2
75,BoarCo,sell,4
76,MenhirCo,sell,6
77,MenhirCo,sell,8
78,GameStart,sell,7
79,GameStart,buy,4
80,GameStart,buy,8
81,MenhirCo,sell,4
82,RottenFishCo,buy,4
83,GameStart,sell,2
84,MenhirCo,sell,3
85,RottenFishCo,buy,4
86,GameStart,buy,1
87,GameStart,buy,6
88,BoarCo,buy,7
89,RottenFishCo,buy,3
90,RottenFishCo,buy,8
91,MenhirCo,buy,10
92,BoarCo,buy,10
93,BoarCo,buy,2
94,BoarCo,sell,9
95,BoarCo,sell,8
96,RottenFishCo,sell,8
97,BoarCo,sell,6
98,GameStart,sell,2
99,MenhirCo,buy,2
100,RottenFishCo,sell,10
101,MenhirCo,buy,7
102,MenhirCo,buy,8
103,BoarCo,sell,7
104,MenhirCo,sell,5
105,GameStart,sell,9
106,RottenFishCo,sell,8
107,RottenFishCo,buy,8
108,MenhirCo,buy,8
109,MenhirCo,sell,4
110,GameStart,buy,6
111,MenhirCo,sell,2
112,BoarCo,sell,10
113,RottenFishCo,buy,6
114,MenhirCo,sell,4
115,MenhirCo,sell,9
116,GameStart,sell,5
117,BoarCo,buy,7
118,GameStart,sell,8
119,RottenFishCo,sell,7
120,MenhirCo,buy,7
121,MenhirCo,sell,5
122,MenhirCo,sell,7
123,GameStart,sell,4
124,MenhirCo,buy,1
125,BoarCo,sell,4
126,MenhirCo,buy,2
127,RottenFishCo,sell,4
128,MenhirCo,sell,4
129,GameStart,sell,3
130,GameStart,buy,7
131,MenhirCo,sell,9
132,RottenFishCo,sell,10
133,GameStart,sell,4
134,BoarCo,sell,2
135,RottenFishCo,sell,4
136,BoarCo,buy,1
137,GameStart,buy,2
138,RottenFishCo,buy,10
139,GameStart,sell,10
140,MenhirCo,buy,3
141,RottenFishCo,sell,8
142,MenhirCo,buy,5
143,BoarCo,buy,9
144,BoarCo,sell,5
145,BoarCo,sell,5
146,RottenFishCo,sell,10
147,BoarCo,sell,1
